geneID,geneID2,base_mean,coeff_log2,coeff_natural,pvalue,qval,FDR,gene_symbol
ENSG00000143162,ENSG00000143162.7,6.629633668,0.009597295,1.006674514,1.82E-06,0.000308324,0.000969748,CREG1
ENSG00000143889,ENSG00000143889.15,5.967527042,0.004681075,1.003249943,1.39E-06,0.000254495,0.000969748,HNRNPLL
ENSG00000147689,ENSG00000147689.16,-0.749391246,0.017850708,1.012450032,1.48E-06,0.000266024,0.000969748,FAM83A
ENSG00000152332,ENSG00000152332.15,8.35021453,0.003523894,1.002445563,1.26E-06,0.000235898,0.000969748,UHMK1
ENSG00000154027,ENSG00000154027.18,3.575972393,-0.012132424,0.991625706,1.57E-06,0.000278173,0.000969748,AK5
ENSG00000162434,ENSG00000162434.11,9.424174024,-0.00433627,0.996998839,1.60E-06,0.000281048,0.000969748,JAK1
ENSG00000162949,ENSG00000162949.16,-1.031753426,0.011554689,1.008041259,1.79E-06,0.000304802,0.000969748,CAPN13
ENSG00000163634,ENSG00000163634.11,3.608461605,0.005932602,1.004120633,1.52E-06,0.000271359,0.000969748,THOC7
ENSG00000166428,ENSG00000166428.12,3.223156769,-0.010274624,0.992903474,1.38E-06,0.000252887,0.000969748,PLD4
ENSG00000173436,ENSG00000173436.13,3.776886775,-0.003523792,0.997560474,1.37E-06,0.000251507,0.000969748,MICOS10
ENSG00000174482,ENSG00000174482.10,1.050430884,-0.015322006,0.989435792,1.74E-06,0.000298476,0.000969748,LINGO2
ENSG00000179978,ENSG00000179978.11,3.033433763,0.00938722,1.00652794,1.38E-06,0.000252719,0.000969748,NAIPP2
ENSG00000182489,ENSG00000182489.8,1.310301133,-0.01250479,0.991369796,1.65E-06,0.000287961,0.000969748,XKRX
ENSG00000265354,ENSG00000265354.3,4.357781308,0.004255471,1.002954022,1.67E-06,0.000290006,0.000969748,TIMM23
ENSG00000008394,ENSG00000008394.12,2.924724469,0.007463612,1.005186787,2.01E-06,0.000330291,0.001134427,MGST1
ENSG00000028839,ENSG00000028839.9,5.114813444,0.004591035,1.003187332,1.90E-06,0.000317614,0.001134427,TBPL1
ENSG00000082014,ENSG00000082014.16,4.059485149,0.007769463,1.005399908,1.93E-06,0.00032071,0.001134427,SMARCD3
ENSG00000096063,ENSG00000096063.15,6.693355863,0.006544088,1.004546319,1.84E-06,0.000309875,0.001134427,SRPK1
ENSG00000118777,ENSG00000118777.10,2.789066735,0.013141207,1.009150402,2.07E-06,0.000336974,0.001134427,ABCG2
ENSG00000124785,ENSG00000124785.8,-0.16577124,0.01483457,1.010335587,1.96E-06,0.000324849,0.001134427,NRN1
ENSG00000126775,ENSG00000126775.8,5.286536447,0.00328033,1.002276339,2.11E-06,0.0003418,0.001134427,ATG14
ENSG00000139572,ENSG00000139572.3,0.307108006,0.011621526,1.00808796,2.10E-06,0.00034049,0.001134427,GPR84
ENSG00000163746,ENSG00000163746.11,0.411491761,0.010869995,1.007562962,1.92E-06,0.000319446,0.001134427,PLSCR2
ENSG00000271109,ENSG00000271109.1,2.241837216,-0.007209053,0.995015529,1.98E-06,0.00032674,0.001134427,LINC03049
ENSG00000005381,ENSG00000005381.7,2.127884331,0.013541849,1.009430686,3.49E-06,0.000491905,0.001485602,MPO
